                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3516,                 1.2375,                 1.1362,                0.71109,                0.67045,                0.72938,                0.47375,                 1.3986,                 1.0263,                 1.1351,             0.00023722,             0.00023722,             0.00023722
                      2,                 1.1574,                0.70557,                 1.0514,                0.75358,                0.69127,                0.75841,                0.50448,                 1.3316,                0.85859,                  1.112,             0.00046582,             0.00046582,             0.00046582
                      3,                 1.0935,                0.66934,                 1.0326,                  0.786,                0.66545,                0.74698,                0.49064,                 1.3501,                0.84191,                 1.1173,             0.00068498,             0.00068498,             0.00068498
                      4,                  1.052,                0.63139,                 1.0157,                0.76732,                0.71284,                0.77749,                0.53041,                 1.2813,                0.78547,                 1.0844,             0.00067159,             0.00067159,             0.00067159
                      5,                0.99752,                0.59271,                0.99728,                0.81047,                0.70337,                0.79395,                0.54536,                 1.2405,                0.75475,                 1.0745,             0.00065745,             0.00065745,             0.00065745
                      6,                0.95377,                0.56171,                0.98051,                0.80548,                0.76673,                0.82426,                0.57205,                 1.2235,                0.73195,                 1.0661,             0.00064331,             0.00064331,             0.00064331
                      7,                0.92802,                0.54605,                0.97426,                 0.7978,                 0.7707,                0.82967,                0.57041,                 1.2295,                 0.7032,                 1.0643,             0.00062918,             0.00062918,             0.00062918
                      8,                0.90602,                0.53358,                 0.9657,                  0.811,                0.75605,                0.82681,                0.56914,                 1.2135,                0.69059,                 1.0636,             0.00061504,             0.00061504,             0.00061504
                      9,                0.87361,                0.51046,                0.95262,                0.81123,                0.76699,                0.83608,                0.58273,                 1.2084,                0.68043,                 1.0588,              0.0006009,              0.0006009,              0.0006009
                     10,                0.85653,                0.49378,                0.94923,                0.81821,                 0.7994,                0.85026,                0.60374,                 1.1636,                0.65254,                 1.0413,             0.00058677,             0.00058677,             0.00058677
                     11,                0.85363,                 0.4946,                0.95032,                0.82408,                0.78158,                0.84228,                0.59232,                 1.1626,                0.65876,                   1.04,             0.00057263,             0.00057263,             0.00057263
                     12,                0.84012,                0.48304,                0.94329,                0.81884,                0.80146,                0.85372,                 0.5983,                 1.1519,                0.65573,                 1.0372,             0.00055849,             0.00055849,             0.00055849
                     13,                0.80159,                0.46608,                0.93257,                0.82735,                  0.796,                0.85604,                0.60769,                 1.1488,                0.64321,                 1.0336,             0.00054435,             0.00054435,             0.00054435
                     14,                0.80651,                0.46624,                0.93653,                0.82374,                0.77399,                0.85073,                0.59797,                 1.1688,                0.63657,                 1.0408,             0.00053022,             0.00053022,             0.00053022
                     15,                0.76488,                0.44574,                0.92217,                0.84305,                0.79994,                0.86257,                0.60987,                 1.1465,                0.62533,                  1.033,             0.00051608,             0.00051608,             0.00051608
                     16,                0.77461,                0.45028,                0.92512,                0.82704,                0.80938,                0.86358,                0.62282,                 1.1312,                 0.6121,                 1.0262,             0.00050194,             0.00050194,             0.00050194
                     17,                0.75016,                0.43707,                0.91674,                0.85607,                0.80856,                0.87183,                0.62443,                 1.1255,                0.60901,                  1.025,              0.0004878,              0.0004878,              0.0004878
                     18,                0.73847,                0.43157,                0.91208,                 0.8287,                0.82133,                0.86797,                0.62736,                 1.1218,                0.60597,                 1.0233,             0.00047367,             0.00047367,             0.00047367
                     19,                0.73705,                0.42667,                0.91483,                0.84161,                0.81408,                0.87407,                0.62517,                 1.1195,                0.60179,                 1.0217,             0.00045953,             0.00045953,             0.00045953
                     20,                0.72743,                0.42167,                0.91065,                0.85448,                0.80676,                0.87578,                0.63183,                 1.1143,                0.59443,                 1.0214,             0.00044539,             0.00044539,             0.00044539
                     21,                 0.7201,                 0.4184,                0.90929,                0.85181,                0.80711,                0.87457,                0.63591,                 1.1035,                0.58963,                 1.0186,             0.00043126,             0.00043126,             0.00043126
                     22,                0.71245,                0.41277,                0.90851,                0.86748,                 0.8154,                0.88711,                0.63904,                 1.1117,                 0.5803,                 1.0192,             0.00041712,             0.00041712,             0.00041712
                     23,                0.70253,                0.40754,                0.90433,                0.85696,                0.81888,                0.87795,                0.63824,                 1.1127,                0.58274,                 1.0276,             0.00040298,             0.00040298,             0.00040298
                     24,                0.69128,                0.40026,                0.90255,                0.86228,                0.81574,                0.87779,                0.63726,                 1.0998,                0.58714,                 1.0129,             0.00038884,             0.00038884,             0.00038884
                     25,                0.67437,                0.39283,                0.89801,                0.85996,                0.81576,                0.88492,                0.64246,                 1.0986,                 0.5725,                 1.0125,             0.00037471,             0.00037471,             0.00037471
                     26,                0.66196,                0.38956,                0.89262,                0.86252,                0.82522,                 0.8866,                0.64693,                 1.0841,                0.56938,                 1.0073,             0.00036057,             0.00036057,             0.00036057
                     27,                0.67305,                0.39324,                0.89581,                0.85934,                 0.8283,                 0.8861,                0.64853,                 1.0856,                0.56831,                 1.0114,             0.00034643,             0.00034643,             0.00034643
                     28,                0.65855,                 0.3817,                0.89303,                 0.8583,                0.82511,                0.88654,                0.65067,                 1.0873,                0.56646,                 1.0094,              0.0003323,              0.0003323,              0.0003323
                     29,                0.63506,                0.37275,                0.88565,                0.84817,                0.84306,                0.88889,                 0.6505,                 1.0868,                0.56698,                 1.0107,             0.00031816,             0.00031816,             0.00031816
                     30,                0.63395,                0.37221,                0.88628,                0.86488,                0.83568,                0.88906,                0.65321,                 1.0871,                0.56068,                 1.0123,             0.00030402,             0.00030402,             0.00030402
                     31,                0.63392,                0.36898,                0.88793,                0.87401,                0.82706,                0.89051,                0.65232,                 1.0834,                0.55857,                  1.009,             0.00028988,             0.00028988,             0.00028988
                     32,                0.62937,                0.36675,                0.88608,                0.86176,                0.84017,                 0.8906,                0.65504,                 1.0726,                0.55506,                 1.0041,             0.00027575,             0.00027575,             0.00027575
                     33,                0.62723,                0.36646,                0.88476,                0.87021,                 0.8283,                0.89136,                0.65164,                 1.0776,                0.55347,                 1.0081,             0.00026161,             0.00026161,             0.00026161
                     34,                 0.6092,                0.35526,                0.87893,                0.87332,                0.83176,                0.89475,                0.65796,                 1.0722,                0.54909,                 1.0073,             0.00024747,             0.00024747,             0.00024747
                     35,                0.60426,                0.35122,                0.87944,                0.87263,                0.82674,                0.89347,                0.65689,                 1.0698,                0.55026,                 1.0052,             0.00023334,             0.00023334,             0.00023334
                     36,                0.59737,                0.34938,                0.87554,                0.88065,                0.82702,                0.89198,                0.65542,                 1.0702,                0.54927,                 1.0032,              0.0002192,              0.0002192,              0.0002192
                     37,                0.59474,                0.34721,                0.87727,                0.86938,                0.82866,                0.89297,                0.65836,                 1.0656,                0.54176,                 1.0034,             0.00020506,             0.00020506,             0.00020506
                     38,                 0.5827,                0.34037,                0.87309,                0.86025,                0.84467,                0.89609,                0.66122,                 1.0586,                0.54049,                 1.0005,             0.00019092,             0.00019092,             0.00019092
                     39,                0.57726,                0.34016,                0.87296,                0.86294,                0.84315,                0.89737,                0.66347,                 1.0606,                 0.5381,                 1.0003,             0.00017679,             0.00017679,             0.00017679
                     40,                0.57895,                0.33782,                0.87373,                0.88842,                0.82013,                0.89558,                0.66461,                 1.0553,                0.53612,                0.99987,             0.00016265,             0.00016265,             0.00016265
                     41,                 1.0621,                0.53356,                0.99544,                0.87836,                0.83265,                0.89614,                 0.6618,                  1.062,                0.53288,                 1.0029,             0.00014851,             0.00014851,             0.00014851
