                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4816,                 3.7799,                 3.5374,                0.52069,                0.08388,                0.06468,                0.02161,                 2.8573,                 2.9905,                 2.5834,              0.0033225,              0.0033225,              0.0033225
                      2,                 2.0947,                 1.9578,                 1.9683,                0.34005,                0.29363,                 0.2648,                0.13097,                 2.1239,                   2.02,                 1.8783,              0.0065899,              0.0065899,              0.0065899
                      3,                 1.7737,                 1.5313,                 1.6478,                0.49021,                0.33136,                0.32088,                 0.1619,                 2.0386,                 1.8518,                 1.7868,              0.0097914,              0.0097914,              0.0097914
                      4,                 1.5829,                 1.2425,                 1.4916,                0.49777,                0.49161,                0.47088,                0.26963,                 1.7205,                  1.376,                 1.5654,               0.009703,               0.009703,               0.009703
                      5,                 1.4578,                 1.0491,                 1.4011,                0.67513,                0.49745,                0.54731,                0.32105,                  1.665,                 1.2359,                 1.4967,               0.009604,               0.009604,               0.009604
                      6,                 1.3536,                0.92988,                 1.3296,                0.67662,                0.52229,                0.59259,                0.36671,                 1.5773,                 1.1405,                 1.4541,               0.009505,               0.009505,               0.009505
                      7,                 1.3107,                0.87287,                 1.3055,                0.63335,                0.56608,                0.61509,                0.37765,                 1.5355,                 1.0864,                  1.417,               0.009406,               0.009406,               0.009406
                      8,                 1.2671,                0.83106,                 1.2751,                0.71983,                 0.5551,                0.62987,                0.38766,                 1.5718,                 1.0616,                 1.4344,               0.009307,               0.009307,               0.009307
                      9,                 1.2207,                0.79152,                  1.245,                0.70371,                0.58079,                0.64562,                0.41458,                 1.4833,                 1.0258,                  1.392,               0.009208,               0.009208,               0.009208
                     10,                 1.1899,                0.75845,                 1.2276,                0.72388,                0.61003,                0.68167,                0.43887,                 1.4438,                0.98819,                  1.357,               0.009109,               0.009109,               0.009109
                     11,                 1.1805,                0.75259,                  1.219,                0.74957,                0.61158,                 0.6891,                0.43949,                 1.4586,                0.95073,                 1.3708,                0.00901,                0.00901,                0.00901
                     12,                 1.1523,                0.72769,                 1.2005,                0.75241,                0.64503,                0.70636,                0.45251,                 1.4222,                0.94021,                 1.3491,               0.008911,               0.008911,               0.008911
                     13,                 1.1207,                0.70332,                  1.186,                0.75528,                0.65503,                0.72043,                0.46222,                  1.427,                 0.9137,                 1.3392,               0.008812,               0.008812,               0.008812
