                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.836,                 2.6937,                 2.9987,                0.34171,                 0.2773,                0.25721,                0.13211,                 2.2876,                 1.9965,                 2.0511,             0.00023722,             0.00023722,             0.00023722
                      2,                 1.6051,                 1.1622,                 1.5561,                0.58023,                0.49633,                0.53876,                0.31342,                 1.7263,                  1.258,                 1.5802,             0.00046582,             0.00046582,             0.00046582
                      3,                 1.4375,                0.96161,                  1.399,                0.63542,                0.49162,                0.52532,                0.29612,                 1.6768,                 1.3616,                 1.5143,             0.00068498,             0.00068498,             0.00068498
                      4,                 1.3198,                0.84014,                 1.3147,                0.71474,                0.59861,                0.65854,                0.41291,                 1.5051,                 1.0204,                 1.4057,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.2254,                0.76121,                 1.2551,                0.72099,                0.59971,                0.67823,                 0.4363,                  1.466,                0.93846,                 1.3794,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.1486,                0.69546,                  1.205,                0.74751,                0.66273,                 0.7292,                0.47832,                 1.3846,                0.88011,                 1.3194,             0.00064331,             0.00064331,             0.00064331
                      7,                  1.107,                0.66527,                 1.1807,                0.71512,                 0.6665,                0.71537,                 0.4722,                 1.4065,                0.86329,                 1.3415,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.0564,                0.63762,                 1.1526,                0.79281,                0.70237,                0.77039,                0.51791,                 1.3395,                0.78894,                 1.2824,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.0121,                0.60599,                 1.1257,                0.75356,                0.71224,                0.76693,                0.50218,                 1.3512,                0.79908,                 1.2843,              0.0006009,              0.0006009,              0.0006009
                     10,                0.97932,                0.57852,                 1.1097,                0.82287,                0.71674,                0.79072,                0.53622,                 1.2823,                 0.7411,                 1.2539,             0.00058677,             0.00058677,             0.00058677
                     11,                0.97308,                0.57148,                 1.1058,                0.80437,                0.72311,                0.79059,                0.53396,                 1.2839,                0.74029,                 1.2562,             0.00057263,             0.00057263,             0.00057263
                     12,                0.94637,                0.54747,                 1.0909,                 0.7845,                0.74631,                0.79829,                0.53811,                 1.2816,                 0.7317,                 1.2461,             0.00055849,             0.00055849,             0.00055849
                     13,                0.91194,                0.52639,                 1.0729,                0.79812,                0.74631,                0.80815,                0.55155,                 1.2411,                0.71136,                 1.2314,             0.00054435,             0.00054435,             0.00054435
                     14,                0.90716,                0.52723,                 1.0744,                0.81702,                0.74332,                0.81814,                 0.5666,                 1.2278,                 0.6848,                 1.2219,             0.00053022,             0.00053022,             0.00053022
                     15,                0.87017,                0.50145,                 1.0534,                0.83518,                0.74424,                0.82273,                0.57386,                 1.2074,                0.67099,                 1.2134,             0.00051608,             0.00051608,             0.00051608
                     16,                 0.8704,                0.49886,                 1.0523,                0.81722,                0.75985,                0.82174,                0.57923,                 1.1994,                 0.6593,                 1.2053,             0.00050194,             0.00050194,             0.00050194
                     17,                0.83796,                0.48196,                 1.0405,                 0.8237,                0.77029,                0.83209,                0.58455,                   1.19,                0.65112,                 1.2018,              0.0004878,              0.0004878,              0.0004878
                     18,                0.82856,                0.47598,                 1.0308,                0.80825,                0.77633,                0.83469,                0.59064,                 1.1691,                0.64488,                 1.1846,             0.00047367,             0.00047367,             0.00047367
                     19,                0.81375,                0.46647,                 1.0267,                0.82496,                0.77422,                0.83318,                0.58337,                  1.192,                0.66028,                 1.1928,             0.00045953,             0.00045953,             0.00045953
                     20,                0.80002,                0.45823,                 1.0217,                0.84519,                0.77263,                0.84406,                0.59771,                 1.1637,                0.63112,                 1.1847,             0.00044539,             0.00044539,             0.00044539
                     21,                0.79079,                0.45475,                 1.0179,                0.82249,                  0.795,                0.84787,                0.60161,                 1.1597,                0.62445,                 1.1852,             0.00043126,             0.00043126,             0.00043126
                     22,                0.77503,                0.44398,                 1.0129,                0.84455,                0.78788,                0.85304,                0.60697,                  1.143,                0.60738,                  1.176,             0.00041712,             0.00041712,             0.00041712
                     23,                0.76391,                0.43595,                 1.0056,                 0.8276,                0.78538,                0.85129,                0.60848,                 1.1425,                0.61103,                 1.1733,             0.00040298,             0.00040298,             0.00040298
                     24,                0.75356,                0.42976,                 1.0019,                0.85099,                0.78468,                0.86036,                 0.6136,                 1.1337,                0.60492,                 1.1706,             0.00038884,             0.00038884,             0.00038884
                     25,                0.74001,                0.42369,                0.99698,                0.84091,                0.78563,                0.85346,                0.61007,                 1.1397,                 0.6072,                 1.1724,             0.00037471,             0.00037471,             0.00037471
                     26,                0.71862,                0.41561,                0.98564,                0.85011,                0.79401,                0.85779,                0.61753,                 1.1181,                0.59553,                  1.161,             0.00036057,             0.00036057,             0.00036057
                     27,                0.72575,                0.41598,                0.98984,                0.83456,                0.80893,                0.86346,                0.62188,                 1.1162,                0.58828,                 1.1576,             0.00034643,             0.00034643,             0.00034643
                     28,                0.71689,                0.40684,                0.98458,                0.83641,                0.82229,                0.86783,                0.62311,                 1.1155,                0.58319,                 1.1606,              0.0003323,              0.0003323,              0.0003323
                     29,                 0.6887,                0.39473,                0.97195,                0.84528,                0.80316,                0.86647,                0.62551,                 1.1102,                0.58035,                 1.1573,             0.00031816,             0.00031816,             0.00031816
                     30,                  0.681,                0.38997,                0.97044,                0.84889,                0.80692,                0.87118,                0.62662,                  1.105,                0.57471,                 1.1544,             0.00030402,             0.00030402,             0.00030402
                     31,                0.68043,                0.39095,                0.97175,                0.84808,                0.81228,                 0.8729,                0.62715,                 1.1053,                0.57243,                 1.1542,             0.00028988,             0.00028988,             0.00028988
                     32,                0.67522,                0.38621,                0.96835,                0.85274,                0.81371,                0.87299,                0.63205,                  1.099,                0.56949,                 1.1507,             0.00027575,             0.00027575,             0.00027575
                     33,                0.67186,                0.38474,                0.96844,                0.85321,                0.81365,                0.87142,                0.63056,                 1.0946,                0.56845,                 1.1531,             0.00026161,             0.00026161,             0.00026161
                     34,                0.65139,                0.37136,                0.95849,                0.87078,                 0.8008,                0.87457,                 0.6349,                 1.1009,                0.56721,                 1.1536,             0.00024747,             0.00024747,             0.00024747
                     35,                0.64073,                0.36542,                0.95553,                0.85055,                0.80849,                 0.8759,                0.63659,                 1.0917,                0.55875,                 1.1506,             0.00023334,             0.00023334,             0.00023334
                     36,                0.63422,                0.36128,                 0.9509,                0.85158,                0.81624,                0.87339,                0.63357,                 1.0882,                0.55641,                 1.1492,              0.0002192,              0.0002192,              0.0002192
                     37,                0.62983,                0.36127,                 0.9535,                0.84291,                0.82514,                0.87985,                0.63969,                  1.083,                0.55253,                 1.1446,             0.00020506,             0.00020506,             0.00020506
                     38,                 0.6161,                0.35318,                0.94765,                0.84035,                0.82827,                0.87943,                0.64167,                 1.0843,                0.55157,                 1.1483,             0.00019092,             0.00019092,             0.00019092
                     39,                 0.6103,                0.35221,                0.94402,                0.84518,                0.83803,                0.88312,                0.64381,                 1.0766,                0.54838,                 1.1437,             0.00017679,             0.00017679,             0.00017679
                     40,                0.60962,                0.34858,                 0.9472,                0.85529,                0.82215,                0.88093,                0.63927,                 1.0823,                0.54887,                 1.1472,             0.00016265,             0.00016265,             0.00016265
                     41,                 1.1012,                0.54796,                 1.1531,                  0.847,                0.82315,                0.88042,                0.64083,                 1.0799,                0.54583,                 1.1435,             0.00014851,             0.00014851,             0.00014851
                     42,                 1.0721,                0.53245,                 1.1366,                0.85744,                0.82277,                0.88375,                0.64488,                 1.0743,                0.54057,                 1.1408,             0.00013437,             0.00013437,             0.00013437
                     43,                 1.0565,                0.52559,                 1.1337,                0.85385,                0.84047,                0.88505,                0.64433,                 1.0712,                0.54028,                 1.1432,             0.00012024,             0.00012024,             0.00012024
                     44,                 1.0433,                0.51982,                 1.1259,                0.84498,                0.83841,                0.88562,                0.64421,                 1.0685,                0.53885,                 1.1424,              0.0001061,              0.0001061,              0.0001061
                     45,                 1.0385,                0.51632,                 1.1222,                0.85699,                0.82918,                0.88751,                0.64614,                 1.0686,                0.53683,                 1.1416,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 1.0209,                0.50914,                 1.1072,                0.84963,                0.84143,                0.88677,                0.64673,                 1.0674,                0.53567,                 1.1418,             7.7826e-05,             7.7826e-05,             7.7826e-05
